"","zcta","total population","Death Count","non-Hisp White","non-Hisp Black","Hisp or Latino","Poverty","Edu1","male1","male2","male3","male4","male5","male6","male7","male8","female1","female2","female3","female4","female5","female6","female7","female8"
"363",92066,378,3.66666666666666,292,10,54,16,26,8,11,20,30,65,39,18,4,10,26,18,29,51,34,12,3
"364",92067,9535,59.6666666666667,8170,60,636,297,106,157,732,647,413,1234,872,399,237,123,701,591,552,1507,786,328,256
"365",92069,46369,233.333333333333,18871,943,21115,6665,6687,1863,3824,5723,5038,4189,1431,711,387,1863,3542,5334,5141,4157,1625,855,686
"366",92070,1245,12.6666666666667,670,6,154,141,104,41,80,96,103,144,89,54,19,34,75,107,95,152,81,42,33
"367",92071,53422,354,39315,971,8700,4094,3605,1828,3477,5582,5376,5822,2201,985,555,1699,3354,5540,5717,6393,2565,1365,963
"368",92075,12056,82.3333333333333,9263,49,1995,959,584,294,635,988,1284,1313,761,412,266,284,605,898,1305,1357,847,448,359
"369",92078,42906,338,26201,851,10499,4262,3033,1727,2904,3897,4773,3385,1581,1046,998,1679,2757,4362,4955,3560,2111,1517,1654
"370",92081,27404,141,16827,919,6554,2909,2046,857,1529,3689,2829,2772,1008,528,451,851,1525,3218,2666,3000,1147,697,637
"371",92082,19037,133,11360,113,5575,1365,1798,548,1365,1872,1485,2378,1148,549,281,549,1254,1757,1560,2420,1064,502,305
"372",92083,36975,195,10947,1040,22492,6037,7412,1614,2907,5388,4068,3167,973,455,272,1578,2758,4823,3809,3108,976,574,505
"373",92084,47654,340.666666666666,21513,1123,22060,6890,7078,1826,3358,5808,4555,4719,1849,1014,711,1794,3345,5299,4434,4782,1800,1208,1152
"374",92086,1573,16,1081,25,278,209,127,23,50,105,82,166,169,108,34,19,57,106,143,183,176,97,55
"375",92091,1048,14.3333333333333,944,5,40,58,7,9,48,36,44,99,120,72,48,14,32,31,65,167,115,82,66
"376",92101,37095,262.333333333333,22123,3313,7450,7112,2599,390,361,5820,7218,5051,1944,978,493,381,380,4545,3980,2697,1397,848,612
"377",92102,43267,216.333333333333,8160,4285,27239,10805,8467,1796,3139,5834,5447,3613,1167,587,332,1617,3118,5671,4969,3478,1281,743,475
"378",92103,31066,276,22977,807,4388,3262,1223,473,651,2956,5011,3845,1663,964,592,475,628,3521,3931,2623,1658,996,1079
"379",92104,44414,237.666666666667,20572,3868,15568,8352,4269,1327,1925,5531,7009,4646,1539,521,313,1251,1862,5685,6080,4013,1549,674,489
"380",92105,69813,340,8121,9441,37720,17417,14188,3218,6108,9015,7581,5492,1785,953,509,3167,5819,8886,7771,5607,2011,1105,786
"381",92106,19330,152.333333333333,15367,503,2118,1362,611,599,893,2482,1839,1994,1005,587,472,541,883,2060,1706,1912,1059,649,649
"382",92107,28651,168.333333333333,23393,470,2992,2729,797,588,999,4274,4126,2813,1179,449,350,519,928,4305,3364,2550,1116,537,554
"383",92108,18858,76.6666666666667,11377,1080,3281,2309,429,420,257,3604,3020,1338,437,190,180,390,284,4053,2406,1191,491,294,303
"384",92109,45787,246.333333333333,36530,575,5551,6545,1213,735,1053,9625,7003,3334,1586,741,571,722,986,8840,4623,2600,1476,871,1021
"385",92110,25341,217.666666666667,16958,1199,4618,2979,954,735,1000,3623,2900,2338,1114,520,485,715,910,3992,2484,1986,1120,682,737
"386",92111,45096,315,19793,2420,12509,7171,4505,1467,2740,5387,5068,4232,1672,1058,651,1375,2610,5015,4817,4382,2054,1478,1090
"387",92113,56066,223,4932,7076,41043,17226,13570,2416,4819,11261,6034,3528,1097,533,321,2309,4533,7426,5272,3927,1261,810,519
"388",92114,65433,406.333333333333,5687,14666,26767,12404,10093,2268,5034,7947,5799,6566,2491,1368,618,2160,4719,7677,6017,6877,2944,1886,1062
"389",92115,58560,339,24314,6068,17338,13701,6137,2025,3007,10682,5841,4409,1652,805,654,1829,2975,10721,5502,4458,1854,1010,1136
"390",92116,31680,172.666666666667,17559,2440,8816,4937,2032,889,1201,3338,5178,3539,1184,409,242,774,1098,3931,4495,3171,1289,548,394
"391",92117,51332,419.333333333334,32065,1003,11302,5469,4254,1411,2502,6210,5715,5631,2041,1377,990,1357,2351,5366,5146,5530,2322,1848,1535
"392",92118,23575,164.666666666667,17180,1401,3181,1047,319,459,1141,5645,2359,1801,990,609,528,439,1091,2247,1727,2024,1084,726,705
"393",92119,23057,199,16802,823,3235,1694,960,586,1271,2212,2029,2419,1146,795,583,570,1250,2063,2105,2570,1377,1201,880
"394",92120,26317,257.666666666667,18924,936,3705,2220,1027,646,1314,2555,2453,2683,1284,972,779,665,1275,2485,2485,2864,1574,1223,1060
"395",92121,4179,10.6666666666667,2135,54,399,752,25,105,192,821,543,358,93,55,15,124,161,674,503,330,125,54,26
"396",92122,43728,223,23716,639,4082,9704,682,973,1323,8372,5011,2794,1421,937,788,995,1236,8245,4418,3069,1725,1236,1185
"397",92123,26823,213.666666666667,13791,2275,5192,2786,1260,1118,1501,3580,3041,2283,774,543,397,1058,1366,3406,2993,2361,949,718,735
"398",92124,30443,99.6666666666667,18524,1885,4877,2024,717,1489,2482,3632,3354,2118,1158,480,232,1459,2378,3552,3417,2502,1405,514,271
"399",92126,73343,261.333333333333,23737,3166,10197,6108,5018,2517,4147,11860,8708,6954,2836,1212,494,2263,3741,8022,7837,7091,3177,1604,880
"400",92127,39337,164,21981,917,3729,1479,844,1748,3580,3100,4948,3956,1127,466,378,1691,3272,3061,5466,4045,1235,546,718
"401",92128,47490,421,30414,1046,4007,1579,1439,1399,2855,3575,4870,4654,2262,1386,1378,1398,2656,3629,5192,5244,2829,2040,2123
"402",92129,51536,174.666666666667,27041,1254,5061,2793,1672,1711,4109,4921,5146,6420,2091,798,313,1548,3668,4654,5758,6798,2200,864,537
"403",92130,48940,116.666666666667,30668,394,3692,2548,879,1720,4559,3591,5647,6101,1507,549,258,1711,4344,3499,6779,6187,1520,624,344
"404",92131,32787,108.666666666667,20577,707,2765,1218,525,1208,2605,2440,3660,3956,1471,556,193,1121,2600,2412,4034,4224,1540,492,275
"405",92132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"406",92134,198,1.66666666666667,102,28,34,0,0,0,0,126,24,0,3,4,4,0,0,30,5,0,1,1,0
"407",92135,571,0.666666666666666,409,57,74,0,0,0,0,451,39,12,0,0,0,0,0,68,1,0,0,0,0
"408",92139,35125,190,4639,4412,13120,4352,4611,1330,2544,4291,3333,3152,1234,671,350,1283,2513,4205,3529,3633,1520,940,597
"409",92140,3435,0.666666666666666,2400,141,644,0,63,0,2,3398,1,6,0,0,0,0,1,21,1,1,2,2,0
"410",92145,1449,1.66666666666667,705,63,160,0,38,87,145,113,162,158,31,15,2,76,150,126,203,136,23,14,8
"411",92147,559,0,384,56,75,0,0,0,0,351,92,12,0,0,0,0,0,98,6,0,0,0,0
"412",92154,79708,359.333333333333,10296,4169,52390,9823,14412,2694,5819,11009,9100,7642,2713,1560,717,2599,5597,8994,7678,7347,3122,2033,1084
"413",92155,550,0.333333333333333,324,69,99,0,16,0,0,371,116,21,0,0,0,0,0,35,7,0,0,0,0
"414",92173,29429,128.666666666667,810,343,27436,7176,7375,1126,2734,3766,2496,2251,791,462,280,1120,2417,3879,2958,2941,1079,723,406
"415",92201,61827,329,12680,1234,46370,15216,12150,2653,5559,7247,5998,4883,2187,1395,645,2678,5206,6903,6180,5203,2638,1540,912
"416",92203,25605,128.666666666667,12901,510,10819,1599,1270,1032,1809,2410,2596,2029,1380,979,362,946,1791,2386,2561,2251,1727,928,418
"417",92210,4677,65.3333333333333,4330,26,182,206,71,23,84,87,85,370,526,619,338,28,92,77,130,508,717,598,395
"418",92211,24294,322,19647,406,3067,1330,1210,330,662,1229,1087,1668,2063,2595,1623,331,715,1169,1141,2175,2897,2961,1648
"419",92220,31638,433.666666666667,13775,2051,12629,5292,4669,1008,2039,3242,2301,2525,1566,1577,1037,961,2025,2805,2273,2726,2034,2006,1513
"420",92222,45,2.66666666666666,19,0,26,0,0,2,7,2,5,2,3,2,3,0,2,3,5,2,3,3,1
"421",92223,43605,284.666666666667,20713,2219,16330,3989,3595,1849,3435,4112,4470,3571,2047,1181,541,1781,3325,4291,4609,3986,2346,1309,752
"422",92225,24310,135.333333333333,7271,3179,12936,2900,5867,743,1545,3010,4719,4038,1203,496,311,662,1395,1735,1500,1577,711,412,253
"423",92227,26234,162.333333333333,4203,377,21097,6556,5367,1236,2313,2982,2211,2323,902,541,300,1213,2204,2976,2433,2526,1007,623,444
"424",92230,2550,23.6666666666667,1075,132,1143,503,376,135,223,275,226,265,96,42,17,116,183,291,209,298,101,38,35
"425",92231,39073,174.666666666667,696,51,37803,8915,9610,1532,3459,4417,3242,3205,1226,920,511,1478,3377,4452,3935,3844,1644,1171,660
"426",92233,8099,23.6666666666667,1093,1604,5174,988,3062,173,422,1828,2393,971,204,81,44,173,332,469,347,370,144,106,42
"427",92234,51151,363.333333333333,16485,1108,30083,9576,8950,1845,3846,5588,5033,5177,2383,1585,851,1701,3847,5061,4782,4429,2231,1704,1088
"428",92236,41083,119.666666666667,968,140,39593,10293,10369,2363,4372,5604,4167,2686,753,359,184,2158,4357,5516,4289,2790,813,461,211
"429",92239,223,1.33333333333333,167,1,45,1,74,12,7,16,21,22,27,9,3,4,12,12,19,20,23,13,3
"430",92240,34722,242,11815,2134,19171,8069,5532,1525,2957,3999,3263,3203,1335,740,406,1509,2812,3734,3415,3091,1399,837,497
"431",92241,8803,90.6666666666667,5089,100,3376,1136,1527,216,467,599,640,912,597,689,337,228,416,552,543,786,711,704,406
"432",92242,1539,24.6666666666667,1236,15,183,186,165,20,63,96,67,174,154,141,64,18,51,75,80,182,131,148,75
"433",92243,48030,260,7132,959,38536,11171,8924,1889,4011,5953,4410,4246,1762,974,567,1780,3692,5458,4470,4785,2037,1195,801
"434",92249,7334,23.6666666666667,179,21,7060,1187,1591,376,746,833,717,485,178,126,51,372,676,977,784,573,238,136,66
"435",92250,8285,56.6666666666667,1867,25,6276,1717,1772,307,695,868,673,810,379,220,126,284,678,902,713,874,344,226,186
"436",92251,21583,58.3333333333333,4291,1822,14875,2580,3573,684,1686,3550,3858,2230,506,253,124,724,1548,1887,2013,1567,487,302,164
"437",92252,9647,122,7246,257,1591,1488,829,337,544,1016,775,1103,584,289,188,302,512,991,781,1105,519,331,270
"438",92253,37262,221,23583,599,11217,2549,2327,896,2400,2939,2855,3613,2828,1789,680,877,2337,2809,3182,4446,3156,1711,744
"439",92254,12768,36,222,25,12442,4692,3654,787,1422,1867,1212,967,255,142,50,704,1298,1622,1238,841,217,104,42
"440",92256,3588,38.3333333333333,2840,38,531,822,382,112,172,270,319,523,284,117,49,88,175,283,250,540,245,107,54
"441",92257,2326,38.3333333333333,1199,82,943,935,526,61,106,179,114,267,186,172,98,49,101,152,127,245,204,158,107
"442",92258,861,3,173,55,615,318,154,35,69,122,96,92,33,17,7,42,74,69,87,69,32,11,6
"443",92259,390,6.66666666666666,288,1,93,104,66,11,13,21,24,56,49,27,12,5,20,18,15,54,38,17,10
"444",92260,31753,420.333333333333,21621,436,8195,3107,2839,687,1417,2439,2056,2695,2087,1993,1546,688,1310,2345,2214,3138,2731,2406,2001
"445",92262,26179,350,14939,1460,7993,3418,2887,625,1232,1921,2479,4271,2184,1186,608,600,1178,1906,1857,2569,1623,1021,919
"446",92264,19383,297.333333333333,13962,413,3650,2580,1787,296,512,1076,1498,3216,2070,1605,870,269,471,971,930,1745,1532,1262,1060
"447",92266,234,6.00000000000001,171,1,45,0,41,4,11,14,16,37,22,20,10,4,7,15,13,28,17,10,6
"448",92267,126,0.666666666666666,112,0,13,0,11,1,2,7,5,12,19,13,4,1,7,5,4,19,17,8,2
"449",92268,574,7,523,8,21,177,133,4,16,29,27,100,65,43,10,3,15,25,30,97,63,39,8
"450",92270,17220,272.333333333333,14067,235,1964,1934,741,212,533,594,806,1850,1753,1590,1172,211,522,566,777,1767,1931,1538,1398
"451",92273,1823,10.6666666666667,192,21,1564,373,489,94,171,217,135,164,43,42,21,80,140,246,168,175,59,43,25
"452",92274,19801,66.6666666666667,1527,77,17747,6707,5784,1198,2092,2763,2009,1416,560,304,140,1070,1874,2412,1790,1287,472,274,140
"453",92275,1506,15.6666666666667,640,39,763,481,209,52,118,149,118,135,83,63,31,52,127,135,119,164,81,52,27
"454",92276,7585,78.6666666666667,3212,80,4042,692,1421,238,516,736,627,635,411,375,261,197,477,592,624,630,524,452,290
"455",92277,23911,156.333333333334,14731,1746,4836,3369,1460,1389,1598,4153,1934,1654,770,375,197,1423,1458,3870,1888,1673,792,424,313
"456",92278,3846,4.33333333333333,2515,243,788,52,0,36,62,3260,131,5,0,0,0,41,60,149,93,6,2,1,0
"457",92280,14,1.33333333333333,7,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,4,2,2
"458",92281,2432,12.6666666666667,311,9,2082,438,613,119,217,251,192,193,73,63,30,126,245,270,225,222,99,65,42
"459",92282,1239,8,743,51,370,91,131,51,81,106,132,171,76,38,9,40,69,108,112,139,57,28,22
"460",92283,3158,31,637,48,1175,1094,717,132,278,291,222,252,194,107,55,149,264,340,261,290,186,91,46
"461",92284,25095,338.666666666667,18725,649,4384,3695,2334,817,1683,2337,2076,2647,1324,930,510,760,1554,2276,2095,2733,1463,1042,848
"462",92285,2632,45,2066,20,423,794,378,59,124,189,180,368,257,156,55,45,115,154,166,345,222,128,69
"463",92301,32725,130,5816,6241,18974,8522,5590,1714,3392,4615,3608,2387,703,300,138,1621,3285,3954,3342,2351,774,361,180
"464",92304,17,0.666666666666666,3,0,10,0,0,0,0,4,1,6,1,1,0,0,0,1,1,1,0,1,0
"465",92305,535,4.33333333333334,422,0,89,19,0,10,15,53,40,83,35,22,6,19,34,34,37,81,44,17,5
"466",92307,37630,336.333333333333,21904,3156,10151,5630,3428,1292,2962,4041,3005,3856,1814,1117,563,1197,2684,3885,3164,4235,1904,1210,701
"467",92308,39837,384.333333333333,22353,3084,11810,8264,3731,1487,3071,3996,3098,3713,2033,1361,657,1321,2904,3865,3320,4127,2255,1546,1083
"468",92309,763,2.66666666666666,212,1,510,40,227,57,74,103,94,59,17,5,1,30,76,81,92,46,15,10,3
"469",92310,8845,6.66666666666667,4567,1008,2261,699,78,654,778,2168,1315,105,11,2,1,644,724,1400,924,98,17,2,2
"470",92311,31894,291.666666666667,12260,3525,13457,6322,4121,1453,2629,3722,2704,3118,1276,710,395,1321,2333,3557,2877,3145,1332,824,498
"471",92313,12025,85.0000000000001,5575,637,4708,697,920,390,802,1328,1131,1178,535,250,179,361,745,1401,1176,1374,566,352,257
"472",92314,10162,76.0000000000001,7697,64,1940,1778,1124,299,686,923,847,1247,665,362,109,309,581,823,837,1383,642,319,130
"473",92315,5094,60,3742,21,1085,1189,595,124,281,519,401,594,378,229,89,125,266,358,382,606,376,262,104
"474",92316,30830,136.333333333333,4439,1195,24305,6272,6681,1312,2882,4103,3092,2731,840,423,155,1209,2747,3906,3130,2649,877,532,242
"475",92320,7788,112.666666666667,5678,75,1740,800,753,171,378,702,528,837,483,376,259,179,357,621,529,903,573,520,372
"476",92321,1522,5,961,3,492,0,52,61,104,181,145,174,88,34,16,54,84,145,118,176,67,47,28
"477",92322,1257,5,988,4,174,41,20,34,68,117,97,187,79,39,15,36,79,90,104,181,79,34,18
"478",92324,56505,284.666666666667,7903,4771,39963,12159,8696,2581,4989,7206,5542,4672,1533,763,430,2615,4697,7386,5797,4948,1737,984,625
"479",92325,9391,66.3333333333334,7223,87,1577,1389,537,243,592,874,826,1271,643,264,59,273,550,805,781,1313,598,217,82
"480",92327,632,8.66666666666667,420,7,135,353,32,12,44,54,58,95,37,22,14,13,33,54,49,82,30,15,20
"481",92328,445,0.999999999999999,360,7,48,19,9,2,5,54,57,79,56,7,1,7,5,54,28,54,31,3,2
"482",92332,65,0.666666666666666,39,2,19,0,8,1,3,11,6,14,8,2,2,0,3,1,1,8,5,0,0
"483",92333,472,5,425,0,34,33,8,8,10,30,28,65,48,35,11,9,19,24,29,64,54,30,8
"484",92335,95397,405,10863,3974,77934,20588,22417,4628,9140,13017,9736,7423,2180,1068,507,4472,8695,12389,9840,7469,2477,1465,891
"485",92336,88419,260,16982,11028,48835,8342,9108,3583,8233,10615,9883,8010,2333,816,313,3411,7697,10498,10585,8345,2477,1057,563
"486",92337,37849,94.3333333333334,4373,3740,26578,3372,6095,1575,3570,4928,4256,3349,813,365,110,1486,3383,4674,4425,3308,949,451,207
"487",92338,12,0.999999999999999,10,0,2,0,0,0,0,0,1,2,2,0,0,0,2,2,0,2,1,0,0
"488",92339,885,5.66666666666666,711,5,107,47,5,18,47,69,88,131,71,16,5,25,42,80,74,139,59,18,3
"489",92341,410,2.33333333333333,348,0,50,0,15,5,20,36,34,64,44,19,3,9,15,28,34,55,36,6,2
"490",92342,6379,69,4401,332,1237,846,233,198,418,467,507,659,465,329,146,182,376,456,519,717,478,294,168
"491",92344,20769,70.6666666666667,8967,1315,9119,2842,1896,814,2072,2231,2145,1974,730,276,87,804,1945,2243,2290,2028,686,299,145
"492",92345,78715,582.666666666666,33828,3787,37797,15400,10753,3380,7003,9159,7180,7200,2945,1504,747,3135,6507,8932,7458,7597,3070,1766,1132
"493",92346,54923,336,20492,6168,22306,9445,7118,1994,4379,5921,5220,5712,2176,1062,479,1952,4251,5991,5411,5858,2361,1397,759
"494",92347,1692,17,903,48,679,522,193,62,134,163,127,210,90,53,18,62,136,151,133,183,100,52,18
"495",92352,8004,46.6666666666667,6186,62,1416,762,220,184,538,700,573,1043,606,297,95,193,525,615,613,1082,594,265,81
"496",92354,21559,199,7642,1730,4790,2653,2234,684,1259,2653,2008,1723,855,467,451,696,1185,2965,2147,1983,972,636,875
"497",92356,6455,78.3333333333333,4298,187,1608,1353,868,197,436,630,493,844,422,229,105,152,421,543,492,767,366,246,112
"498",92358,707,7.33333333333333,557,6,101,33,0,14,32,44,42,124,66,34,10,8,25,41,42,117,60,33,15
"499",92359,8103,54,4291,352,2865,562,863,287,563,999,772,846,324,150,76,254,570,914,805,948,295,163,137
"500",92363,5321,57.3333333333333,3357,94,1165,1526,736,231,391,504,407,582,326,169,73,183,325,483,420,569,334,194,130
"501",92364,90,0.333333333333333,54,2,22,24,0,1,9,7,7,11,9,3,0,5,3,10,5,10,6,1,3
"502",92365,2637,28.6666666666667,1790,77,650,779,529,63,170,235,198,338,203,91,41,61,165,225,194,328,185,94,46
"503",92368,1113,7,459,10,590,241,230,47,103,125,87,121,63,39,7,40,92,117,82,107,40,31,12
"504",92371,16763,95.6666666666667,10474,282,4922,2504,1698,520,1341,1816,1473,2079,774,412,150,480,1216,1669,1452,2023,764,393,201
"505",92372,6220,39.3333333333333,4376,52,1463,951,702,189,432,589,497,839,361,174,55,179,424,541,521,805,316,200,98
"506",92373,33423,337.333333333333,21448,1336,6509,2384,1588,988,1963,3199,3096,3332,1686,891,607,934,1880,3687,3292,3722,1819,1142,1185
"507",92374,40267,236,17983,2367,15636,5236,3141,1337,2906,5212,3480,3760,1516,720,422,1254,2838,5280,3863,4234,1701,1006,738
"508",92376,81516,412.333333333333,8608,11941,57864,15888,16712,3736,7558,10499,7717,6329,2179,1069,464,3705,7527,10567,8440,6896,2577,1445,808
"509",92377,19989,100.666666666667,4166,4073,10546,1709,2550,721,1631,2397,1991,2002,708,306,138,670,1621,2310,1988,2148,770,416,172
"510",92378,183,3.33333333333333,125,1,46,41,37,3,13,20,13,17,18,5,0,9,17,13,15,24,13,2,1
"511",92382,5268,32.3333333333333,4208,25,733,627,170,152,354,486,479,751,320,130,38,148,307,458,471,712,301,122,39
"512",92384,36,0.333333333333333,32,1,0,0,12,1,0,2,6,4,1,3,1,0,2,0,6,6,4,0,0
"513",92385,313,1.66666666666667,267,9,22,0,31,5,16,29,15,36,40,8,1,7,23,25,19,41,37,9,2
"514",92386,2270,19.3333333333333,1730,8,398,406,112,71,156,228,195,295,121,75,22,80,125,182,192,299,124,73,32
"515",92389,156,1.66666666666666,121,1,8,13,24,2,6,11,7,23,19,14,7,2,3,7,7,22,10,11,5
"516",92391,2534,11,1622,16,757,359,282,92,208,291,242,310,103,49,22,89,197,217,241,280,104,63,26
"517",92392,54858,343,17344,7425,25768,8642,5271,2382,5219,6422,5452,4606,1584,827,347,2228,5114,6478,5920,4915,1796,1057,511
"518",92394,33237,132.333333333333,7289,6842,16211,5977,4483,1470,3012,4325,5141,2907,786,380,128,1387,2896,3623,3404,2340,829,402,207
"519",92395,42400,333.333333333333,16565,5045,17756,10252,5698,1838,3528,4730,3574,3523,1521,959,617,1862,3375,4910,3865,3910,1714,1384,1090
"520",92397,4894,34.3333333333333,4069,35,588,182,73,146,340,409,398,683,331,154,61,133,295,364,421,659,296,143,61
"521",92398,1379,13,921,33,348,186,109,50,105,135,108,157,90,40,22,40,79,136,111,173,79,36,18
"522",92399,52606,476,34793,805,14126,5237,3819,1813,3962,5249,4795,5773,2320,1292,750,1597,3681,4926,5046,5968,2590,1560,1284
"523",92401,1932,20,242,412,1179,1040,551,120,151,269,158,146,57,45,7,112,162,239,204,122,62,49,29
"524",92404,58271,442.333333333333,14287,8619,32129,17272,10562,2842,5052,7100,5041,4716,1857,949,584,2734,4882,7270,5576,5224,2114,1193,1137
"525",92405,28873,168.333333333333,5814,3607,18298,9002,5385,1463,2561,3585,2827,2523,755,345,190,1349,2489,3582,2930,2592,878,439,365
"526",92407,56689,238.666666666667,14913,7025,30776,8473,8149,2415,4781,8189,5497,4847,1534,606,236,2370,4435,8411,5582,5014,1600,757,415
"527",92408,15271,66,2510,1862,8087,3779,2672,653,1255,2239,2114,1466,367,205,114,649,1050,1747,1408,1192,412,240,160
"528",92410,49410,231.333333333333,4724,5944,36356,17018,10695,2682,4985,6359,4596,3630,1180,545,274,2592,4808,6576,4985,3673,1316,740,469
"529",92411,26214,183.666666666667,916,4386,19887,7657,6393,1384,2555,3226,2287,2022,684,419,226,1256,2529,3331,2500,2035,788,582,390
"530",92501,20970,123.333333333333,6606,1894,10865,3935,2928,807,1456,2906,2539,2010,585,328,158,789,1421,2609,2102,1920,667,396,277
"531",92503,84519,450.333333333333,24537,3794,48799,13501,14555,3527,7202,10502,8738,7625,2733,1169,562,3379,6867,9795,8923,7810,3003,1613,1071
"532",92504,53778,406.666666666666,21137,3014,26091,7230,7174,1909,3879,7051,4930,4895,1969,1003,596,1789,3689,6827,4988,5233,2259,1415,1346
"533",92505,47672,241.666666666667,12832,2548,27595,5513,7458,1893,3736,6472,4891,4159,1399,667,346,1875,3666,6334,4904,4226,1541,958,605
"534",92506,44001,339,25598,2277,12722,4281,2891,1228,2845,4684,3710,4996,2280,1051,619,1189,2771,4227,3986,5611,2429,1269,1106
"535",92507,58002,241,14552,5662,27022,13125,6311,1994,3338,12470,4769,3746,1366,699,357,1856,3269,12551,4643,4045,1455,863,581
"536",92508,35000,114.333333333333,16458,2957,10453,2821,1966,1160,3220,3982,3662,3733,984,419,160,1130,3062,3732,4117,3804,1045,524,266
"537",92509,75196,386.333333333333,18967,2559,50407,12330,15199,3144,6601,9640,7485,7034,2381,1090,572,3000,6330,8993,7371,6934,2478,1253,890
"538",92518,1162,57.3333333333333,751,167,172,77,34,29,39,47,59,151,39,42,193,14,43,52,64,56,25,61,248
"539",92530,50216,243,19809,1786,25803,8930,6707,2126,4504,6180,5308,4841,1487,627,281,2106,4211,5794,5240,4806,1482,790,433
"540",92532,18644,48.3333333333333,7952,1132,6899,885,1198,899,1690,1945,2345,1594,530,202,84,863,1638,1966,2351,1609,575,236,117
"541",92536,3810,31.3333333333333,2788,30,778,344,325,72,237,287,268,541,279,201,79,79,204,266,261,526,262,188,60
"542",92539,4734,50,3188,33,1159,618,757,127,294,363,364,645,330,183,87,117,284,382,360,626,320,172,80
"543",92543,33555,552,15830,1938,14105,8980,5864,1334,2439,3283,2604,2611,1398,1119,891,1296,2417,3502,2820,2916,1896,1548,1481
"544",92544,44734,460.333333333333,26174,1581,14714,7401,5215,1517,3352,4692,3828,4396,1968,1249,848,1472,3325,4663,3904,4684,2101,1515,1220
"545",92545,39457,590.333333333333,21909,2307,12194,4904,4515,1295,2806,3391,3100,2827,2041,1829,1473,1250,2551,3407,3165,3169,2707,2221,2225
"546",92548,6643,66.3333333333333,2993,115,3324,1260,1273,251,513,777,554,579,329,222,138,223,458,644,532,602,371,249,201
"547",92549,3926,32.6666666666667,3129,32,488,299,144,86,155,342,250,568,325,170,59,78,182,365,236,503,347,185,75
"548",92551,30815,116.333333333333,4029,5721,18321,4840,5100,1310,2902,4063,2992,2470,735,324,120,1328,2836,4207,3327,2749,843,434,175
"549",92553,73722,289.666666666667,9950,11334,46589,18063,13177,3539,7109,9829,7160,5663,1725,806,299,3439,6828,9717,7746,6214,2018,1119,511
"550",92555,39076,153,9113,7582,17048,3886,2795,1534,3368,4803,3946,3446,1210,515,203,1475,3271,4713,4391,3902,1349,613,337
"551",92557,50320,233.333333333333,13730,8566,23489,7715,5125,1833,4098,6552,4576,4806,1675,667,284,1742,4093,6288,5088,5431,1787,885,515
"552",92561,1661,14.3333333333333,1346,11,189,225,68,31,85,82,96,254,196,90,32,30,65,83,94,278,149,65,31
"553",92562,62079,317.333333333333,38051,2470,14997,3057,2707,2005,5265,6757,5622,6467,1995,1360,796,1907,5044,6449,6403,6686,2337,1769,1217
"554",92563,53892,238,26304,3462,14553,3170,2917,2148,4940,6025,6344,4579,1476,896,466,2039,4620,5601,6437,4550,1873,1186,712
"555",92567,9459,62.6666666666667,3850,125,5162,918,957,344,773,1095,858,984,394,191,91,362,796,1013,900,949,372,220,117
"556",92570,53697,279.333333333334,11067,3891,36832,14186,11748,2484,5011,6740,5233,4921,1828,889,395,2349,4628,6282,5051,4701,1723,929,533
"557",92571,52516,159,5544,6241,37331,11130,9258,2651,5570,6684,5684,3748,938,473,195,2504,5315,6810,5982,3858,1216,590,298
"558",92582,15649,61.6666666666667,5156,1227,7921,2353,1505,740,1562,1807,1672,1155,382,229,119,732,1542,1779,1745,1239,488,261,197
"559",92583,30236,248.666666666667,11324,1487,15483,5399,4990,1292,2633,3320,2780,2440,1068,743,426,1231,2473,3265,2936,2635,1334,985,675
"560",92584,43400,185,22904,2379,13274,2118,2951,1703,3950,4553,4656,3791,1374,957,417,1690,3640,4597,4914,3841,1697,1101,519
"561",92585,17797,96.6666666666666,7658,791,8120,2143,2006,810,1468,1995,1775,1570,638,385,204,721,1404,1885,1812,1567,765,489,309
"562",92586,19815,508.666666666667,13167,965,4543,1739,2515,357,749,1117,984,1507,1443,1402,1192,383,745,1123,1006,1734,2139,2025,1909
"563",92587,16675,100,11001,262,4636,1755,1183,566,1234,1670,1580,1894,733,451,228,523,1245,1568,1555,1891,746,480,311
"564",92590,3660,23,2046,50,1268,367,405,107,255,347,267,445,218,122,43,88,244,353,331,444,216,114,66
"565",92591,38272,166.333333333333,21890,1520,9970,4249,2749,1384,3153,4389,3684,3839,1214,664,348,1370,3124,4127,4125,4029,1459,823,540
"566",92592,72492,281,43127,2474,16107,5298,2537,2473,6657,7261,7583,7819,2245,1174,524,2374,6643,6984,8460,7828,2437,1283,747
"567",92595,29851,198,16394,915,10021,2752,2424,1038,2334,3320,2847,3166,1089,594,324,1060,2229,3182,2963,3208,1201,745,551
"568",92596,23172,69.6666666666667,11686,1333,6591,1759,1611,1082,2347,2236,2913,1901,658,295,88,1038,2223,2242,3059,1892,740,305,153
"569",92602,22871,35,8408,424,2258,815,253,918,1856,1918,3537,2081,507,258,68,961,1750,2215,3860,1922,645,276,99
"570",92603,20184,55.3333333333333,10961,140,1093,1306,257,709,1514,1568,2277,2294,1028,450,184,585,1360,1515,2597,2386,1068,433,216
