"","GEOID","Pop2010","AnnualDeathPerCap","BothShareUnder30","BothShare30To60","BothShareOver50","BothShareOver60","BothShareOver70","BothShareOver80","WhiteShare","BlackShare","HispanicShare","Edu1Share","Edu1to2Share","PovertyShare","Poverty2Share","Income_Less20KShare","Income_Less30KShare","Income_Less40KShare","Income_Less50KShare","Income_Less60KShare","Income_Less75KShare","Income_Less100KShare","UnemployedShare"
"1","90001",57110,0.00399229556995272,0.554456312379618,0.361547890036771,0.172859394151637,0.0839957975836106,0.0368762038171949,0.0140605848362809,0.00623358431097881,0.102556469970233,0.885028891612677,0.609928106812735,0.825607668606642,0.28136358629805,0.623747108712413,0.223760989652221,0.406519878627558,0.544853341632304,0.659612541819031,0.730957753053762,0.833890920407687,0.92001867268342,0.0611326448323405
"2","90002",51223,0.00521900968965764,0.571130156375066,0.345840735607052,0.174667629775687,0.0830291080178826,0.0385764207484919,0.0145637701813638,0.00644241844483923,0.248384514768756,0.734006208148683,0.494276928333476,0.755659007431451,0.32581909525975,0.647069014054007,0.322005021520803,0.479555236728838,0.583393113342898,0.67467718794835,0.751703730272597,0.832406743185079,0.921269727403156,0.0493623501046888
"3","90003",66266,0.00500005030231692,0.562234026499261,0.360411070533909,0.168653608185193,0.0773549029668306,0.0338937011438747,0.0117858328554613,0.00697190112576585,0.236501373253252,0.74526906709323,0.534951168984907,0.77440071026931,0.378830168072326,0.718266488683939,0.367345675190391,0.520339297876293,0.634016469568448,0.724722927372918,0.800817286855303,0.884527273853012,0.949229149897839,0.0689110408971563
"4","90004",62180,0.00402594617776348,0.414618848504342,0.454181408813123,0.255242843357993,0.131199742682535,0.0559826310710839,0.020649726600193,0.168317787069797,0.0315535541974912,0.514425860405275,0.28598272187722,0.482114622241573,0.229786034272109,0.529291062310078,0.228294707713594,0.38446904185403,0.530352819093739,0.61656866136285,0.688818747838118,0.7616741611899,0.840712556208924,0.0809983742947308
"5","90005",37681,0.00397193988128411,0.422520633741143,0.441787638332316,0.247790663729731,0.135691727926541,0.0686552904646904,0.0243889493378626,0.0806507258299939,0.047450969984873,0.519572198190069,0.322706915400078,0.561131290333956,0.24815049157987,0.577557675459944,0.295213946117274,0.442535657686212,0.615847860538827,0.701933438985737,0.793280507131537,0.86351822503962,0.921774960380349,0.0826062187040868
"6","90006",59185,0.00387485567852215,0.457142857142857,0.420832981329729,0.235819886795641,0.122024161527414,0.0527329559854693,0.0190081946439132,0.0314437779842866,0.0314606741573034,0.744681929542959,0.482706112682184,0.732651729388732,0.316363127416505,0.697143057086373,0.317280609708952,0.508366929916607,0.67449052852488,0.756944827967085,0.825702766885735,0.909206384271276,0.959131827470039,0.0887001756219016
"7","90007",40920,0.0032258064516129,0.635068426197458,0.275708699902248,0.164491691104594,0.0892228739002933,0.0429374389051808,0.0167155425219941,0.172360703812317,0.105229716520039,0.541715542521994,0.463133640552995,0.648093841642229,0.428881046986579,0.72833365750646,0.465980661758183,0.605517608444957,0.708861882373814,0.781690765545995,0.830391200212898,0.884857624412313,0.948549631863745,0.0660010012794126
"8","90008",32327,0.00943483775172457,0.379651684350543,0.410802115878368,0.348717790082594,0.209546199771089,0.110403068642311,0.0455346923624215,0.022612676709871,0.685247625823615,0.233891174559965,0.159214210710536,0.405932796639832,0.237883789547486,0.4464666530338,0.304692844438364,0.41715692981256,0.519222875906417,0.61561089068272,0.702968942399781,0.776166370228485,0.879121630866056,0.0732322309519459
"9","90010",3800,0.00342105263157895,0.332105263157895,0.473421052631579,0.319210526315789,0.194473684210526,0.0973684210526316,0.0360526315789474,0.190263157894737,0.0421052631578947,0.0902631578947368,0.159362549800797,0.287576964867802,0.200061938680706,0.345927531743574,0.261437908496732,0.361853832442068,0.406417112299465,0.499108734402852,0.594771241830065,0.755199049316696,0.80154486036839,0.0593512767425811
"10","90011",103892,0.00336567461081379,0.564124282909175,0.365312054826166,0.152466022407885,0.0705636622646595,0.0300119354714511,0.0100681476918338,0.00693027374581296,0.0884476186809379,0.893995687829669,0.646510771496962,0.853452402872399,0.413968593437494,0.758609081367948,0.322984994159403,0.498023182675892,0.627953994069548,0.726974570940785,0.806361757570312,0.895228681822266,0.95035492856501,0.0554730983302412
